review,label
"Q kira besar ,ternyata mini🤭🤭 tapi cocok sic dg hrgany , EMang cm 3rb aj 
sic, tapi parfumnya wangi kok",1
"Koyok ngengek, yg dikirim minyak 1 mili iklan nya 100mli sunggu tidak amanaah pnipuan yg luar biasaa",0
"Saya kira awalnya minyak wangi Fress beneran, setelah di serahan ke jasa kirim saya baca betul2 ternyata cuma tester",1
"Baik, harum sekali, testyr kurang besar, murah relatif, kualitas bagus",2
Produk sesuai dengan pesanan pengiriman tepat waktu kemasan bagus dan mantab gan 👍,2
Ngakak sekali nggak tau kalau ternyata cuma tester mana pengiriman lamaa sekaliiii kecewa polll isinya dikit produk kecil susah pula bukanya,0
"Ralat saya kira parfum botolan ternyata cuma tester, ternyata baca diskripsi itu perlu",0
Mksih kak paketnya udah sampai pengiriman juga cepat barang sesuai dengan pesanan semoga sukses sellu buat tokonya,2
Akibat tidak baca dulu tak kira besar 100ml ternyata 2ml saja,0
Alhamdulillah barang aku sampai dengan baik terima kasih seller dan shopee semoga tetap amanah next time mau order lagi,2
yang di pesen parfume yang datang apa pengirimannya juga lama 2 minggu ngawor,0
 Tidak sesuai deskripsi,0
kemasan mini bau harum harga sangat terjangkau kualitas bintang 5,2
Tidak sesuai dengan pesanan,0
Ku pikir parfum ternyata sampel,1
"Yaudah lah mau berharap apa sama parfum 10 ribuan kalo disini tinggal nambah dikit dapet botol yang besar lah ini gak amanah banget tokonya kecil banget jangan beli di toko ini,semoga gak laku gak sesuai digambar juga foto produknya",0
berukuran kecil dan mudah dibawa,2
tekstur cair,2
memiliki aroma yang harum dan menyenangkan,2
"Harum banget, meskipun kemasan kecil tapi wanginya memuaskan, wangi tahan lama, enak untuk di bawa bepergian",2
"Ini apa-apaan datang parfum nya sekecil ini ditambah nggak ada harum sama sekali  beda sama yang digambar mentang"" harganya murah jadi nggak sesuai apaan ini maksudnya Gua nunggu"" nya udah lama datang kayak gini baru ini gua nyesel sama produk yang nggak jelas",0
Ternyata kecil parfumnya.. Gak sesuai ekspektasi,0
Aku pikir dapet yang besar parfumnya ternya kecil banget kayak tester,1
Gambarnya besar yang datang mini mending cari yg harga normal saja kawan,0
Di luar ekspektasi ini mah gak nyangka semungil ini datengnya lebih cepet dari estimasi,0
"Sangat mengecewakan tidak sesuai angan2, kok bisa2nya pihak shopee ngizinin toko yang kayak gini iya",0
Minyak wangi mini nya udah yampe pengiriman cepat banget hrg murah sekali di pake nya sekali doang soalnya minyak wanginya mini sekali,2
Ku kira yg bsr trnyata kecil mngkn ak yg slh tdk melihat Ket nya,1
Paket nya mungil banget cuma 2ml maklum sih harga segitu,2
Kecewa deh sama barangnya saya kira yang dateng parfum fres kok yg dateng bibitnya,0
Oke sesuai dengan apa yg di pesan dan aman pengemasan top pokonya dapat voucher juga makasih,2
bagus sesuai harapan.pengiriman cepat.packing aman.terimakasih,2
"Harum banget parfumnya , bisa tahan seharian di aku , wort it lah buat harga yang terjangkau.. pokonya the best suh , favorite banget wanginya",2
penjual tidak amanah sama sekali.,0
klo gk niat jualan gak usah jualan kak.,0
pesen nya apa dikirim apa,0
mending di tutup aja ya kak tokonya drpd bnyk yg kecewa. kasihan loh yg beli kena prank.,0
BRG dah smpe dg aman dan utuh TDK bocor.. tp gimana buka nya ya...??,1
Makasih banyak ea KA pesnanq dah yampek,1
alhamdulillah paket saya sdh dtg td....... paketnya diantar aman dan cepat.......mksh iya kak,1
Paket parhum nya sudah di terima dengan keadaan baik  dengan ukuran sangat kecil aroma wangi yg menyegarkan pengiriman cepat  selebihnya biar bintang yang bicara,2
trimksh wangi kecil gak ribet bawannyaa,2
Sampai dengan selamat alhamdulilah..,1
"Terima kasih sudah d kirim, 🤪🤦 salah saya nggak baca diskripsi dulu asal beli",1
Kurang teliti dalam membaca jadi 😔 mungkin lain kali harus baca makanya murah cuma testernya aja,1
"Tak pikir yg dtang besar, ternyata kecil, tp wangi",2
"terkira yang besar, agak rugi 15k 2ml dpt 3",0
makasih seller,1
Barang nya sudah sampai ternyata kecil bngt kirain bakal sesuai di gambar TPI emng sesuai sama harganya oke lah,1
"Kirain botol gede gak taunya seuprit kecewa banget gk lagi""deh beli lagi disini",0
"Paket tiba dgn baik, tp tokonya kurang amanah, d video parfum fress yg dateng minyak bibit yg ukurannya kecill sekali. Kecewa,, tlg yg amanah tokonya..",0
"Brangnya smp dengan aman, trima kasih kak",1
